# Reference      Predicted      Error          
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
-0.00992        -0.00948        0.00044        
0.01081         0.01172         0.00091        
0.01081         0.01176         0.00095        
0.01081         0.01174         0.00093        
0.01081         0.01172         0.00091        
0.01081         0.01176         0.00095        
0.01081         0.01174         0.00093        
0.01081         0.01172         0.00091        
0.01081         0.01176         0.00095        
0.01081         0.01174         0.00093        
-0.01081        -0.01173        0.00091        
-0.01081        -0.01175        0.00094        
-0.01081        -0.01175        0.00094        
-0.01081        -0.01173        0.00091        
-0.01081        -0.01175        0.00094        
-0.01081        -0.01175        0.00094        
-0.01081        -0.01173        0.00091        
-0.01081        -0.01175        0.00094        
-0.01081        -0.01175        0.00094        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
-0.00015        -0.00043        0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
0.00015         0.00043         0.00028        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
-0.00002        -0.00041        0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00002         0.00041         0.00039        
0.00409         0.00473         0.00064        
0.00409         0.00473         0.00064        
0.00409         0.00497         0.00088        
0.00409         0.00492         0.00083        
0.00409         0.00491         0.00082        
0.00409         0.00478         0.00069        
0.00409         0.00479         0.00070        
0.00409         0.00479         0.00070        
0.00409         0.00491         0.00082        
-0.00409        -0.00479        0.00070        
-0.00409        -0.00478        0.00069        
-0.00409        -0.00491        0.00082        
-0.00409        -0.00492        0.00083        
-0.00409        -0.00493        0.00084        
-0.00409        -0.00478        0.00069        
-0.00409        -0.00472        0.00063        
-0.00409        -0.00473        0.00064        
-0.00409        -0.00497        0.00088        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
0.00264         0.00308         0.00044        
-0.00264        -0.00308        0.00044        
-0.00264        -0.00309        0.00045        
-0.00264        -0.00308        0.00044        
-0.00264        -0.00308        0.00044        
-0.00264        -0.00309        0.00045        
-0.00264        -0.00308        0.00044        
-0.00264        -0.00308        0.00044        
-0.00264        -0.00309        0.00045        
-0.00264        -0.00308        0.00044        
0.00368         0.00446         0.00078        
0.00368         0.00447         0.00079        
0.00368         0.00447         0.00079        
0.00368         0.00453         0.00085        
0.00368         0.00440         0.00072        
0.00368         0.00440         0.00072        
0.00368         0.00440         0.00072        
0.00368         0.00452         0.00084        
0.00368         0.00453         0.00085        
-0.00368        -0.00452        0.00084        
-0.00368        -0.00441        0.00073        
-0.00368        -0.00440        0.00072        
-0.00368        -0.00440        0.00072        
-0.00368        -0.00454        0.00086        
-0.00368        -0.00453        0.00085        
-0.00368        -0.00447        0.00079        
-0.00368        -0.00445        0.00078        
-0.00368        -0.00446        0.00078        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
0.00032         -0.00039        0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
-0.00032        0.00039         0.00070        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
0.00388         0.00465         0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
-0.00388        -0.00465        0.00076        
0.00285         0.00289         0.00004        
0.00285         0.00290         0.00005        
0.00285         0.00304         0.00019        
0.00285         0.00302         0.00017        
