# Reference      Predicted      Error          
0.11208         0.09492         0.01717        
-0.01763        -0.01809        0.00046        
-0.01250        -0.01716        0.00466        
0.00074         -0.00527        0.00602        
-0.16847        -0.18412        0.01564        
-0.35141        -0.34406        0.00734        
0.07554         0.09391         0.01837        
-0.34952        -0.34655        0.00297        
-0.08601        -0.05588        0.03013        
0.26510         0.26406         0.00103        
0.08800         0.08773         0.00028        
0.34123         0.33777         0.00346        
0.01707         -0.03697        0.05404        
0.52011         0.52557         0.00546        
0.22059         0.20353         0.01706        
0.50733         0.50532         0.00201        
0.13330         0.10821         0.02509        
-0.62606        -0.62758        0.00151        
-0.10096        -0.11331        0.01235        
-0.42995        -0.42693        0.00302        
-0.22436        -0.17482        0.04954        
0.01826         0.01799         0.00028        
-0.18774        -0.16716        0.02057        
0.01826         0.01799         0.00028        
-0.18774        -0.16716        0.02057        
-0.01826        -0.01799        0.00028        
0.18774         0.16716         0.02057        
-0.01826        -0.01799        0.00028        
0.18774         0.16716         0.02057        
0.02324         0.02225         0.00099        
-0.30628        -0.23947        0.06680        
-0.05342        -0.05321        0.00021        
-0.18548        -0.17430        0.01118        
0.03833         0.03812         0.00020        
0.14752         0.16053         0.01300        
-0.01481        -0.01394        0.00087        
0.35090         0.26002         0.09087        
0.10059         0.10032         0.00027        
-0.15202        -0.16106        0.00904        
0.08136         0.08069         0.00067        
-0.10928        -0.08891        0.02037        
0.06285         0.06099         0.00186        
0.01414         0.02436         0.01022        
-0.11357        -0.11206        0.00151        
0.11593         0.09566         0.02027        
0.14347         0.14284         0.00063        
-0.12538        -0.09441        0.03096        
0.07706         0.07752         0.00045        
-0.06065        -0.05410        0.00655        
-0.16033        -0.16004        0.00029        
0.18581         0.14112         0.04469        
-0.18730        -0.18775        0.00046        
0.12731         0.13483         0.00752        
0.26243         0.26577         0.00334        
0.23206         0.25341         0.02134        
0.34334         0.34343         0.00009        
0.02372         -0.04343        0.06715        
-0.44059        -0.44003        0.00056        
-0.00223        0.00239         0.00462        
-0.12394        -0.12851        0.00456        
-0.29479        -0.25303        0.04175        
0.02813         0.02823         0.00010        
-0.21100        -0.23057        0.01957        
0.02813         0.02823         0.00010        
-0.21100        -0.23057        0.01957        
-0.02813        -0.02823        0.00010        
0.21100         0.23057         0.01957        
-0.02813        -0.02823        0.00010        
0.21100         0.23057         0.01957        
0.05961         0.06092         0.00131        
-0.24311        -0.22905        0.01406        
0.08899         0.09123         0.00224        
-0.17290        -0.17637        0.00347        
-0.08749        -0.08838        0.00089        
0.22771         0.22430         0.00341        
-0.07812        -0.07877        0.00064        
0.20530         0.19610         0.00920        
0.11290         0.11438         0.00148        
-0.16182        -0.16112        0.00071        
0.03112         0.03378         0.00266        
-0.06694        -0.07640        0.00946        
-0.14738        -0.14745        0.00007        
0.27737         0.26575         0.01162        
-0.11090        -0.11476        0.00386        
0.06567         0.08582         0.02015        
0.33625         0.33883         0.00258        
-0.04521        -0.04539        0.00017        
0.38829         0.39519         0.00690        
-0.16292        -0.14074        0.02218        
-0.26668        -0.27411        0.00743        
0.03618         0.01826         0.01792        
-0.42805        -0.43381        0.00576        
0.14215         0.14178         0.00037        
0.34992         0.34978         0.00014        
-0.06176        -0.03715        0.02460        
0.32872         0.33364         0.00493        
-0.24509        -0.25270        0.00760        
